Company name,OSIRIS Identification Number,count_records
ALBARAKA TURK PARTICIPATION BANK - ALBARAKA TURK KATILIM BANKASI AS,TR32656,3
ALBEMARLE FIRST BANK,US60064,4
ALBEMARLE FIRST BANK,USA50B8,5
ALBINA COMMUNITY BANCORP,US40473,14
ALDERMORE GROUP PLC,GB52474,3
ALERUS FINANCIAL CORPORATION,US68123,16
ALFA BANK PJSC,UA26604,6
ALFA BANK PJSC,UA29255,5
"ALGIERS BANCORP, INC.",US74200,6
ALINMA BANK PUBLIC JOINT STOCK COMPANY,SA11421,3
ALIOR BANK SPOLKA AKCYJNA,PL11536,5
ALIOR BANK SPOLKA AKCYJNA,PL15202,3
ALLAHABAD BANK,IN31469,5
ALLAIRE COMMUNITY BANK,US60074,3
"ALLEGHENY BANCSHARES, INC.",US89190,10
"ALLEGHENY VALLEY BANCORP, INC.",US20832,10
ALLEGIANCE BANCSHARES INC,US73355,3
ALLEGIANCE BANCSHARES INC,USF8327,4
ALLEGIANCE BANK OF NORTH AMERICA,US60076,8
"ALLEGIANT BANCORP, INC",US19277,4
"ALLEGIANT BANCORP, INC",USA1BB8,4
ALLIANCE BANCORP INC. OF PENNSYLVANIA,US83643,3
"ALLIANCE BANCORP OF NEW ENGLAND, INC",US19278,4
"ALLIANCE BANCORP OF NEW ENGLAND, INC",US8895A,4
ALLIANCE BANCSHARES CALIFORNIA,US68128,7
ALLIANCE BANCSHARES CALIFORNIA,USAA14C,8
ALLIANCE BANK,US63520,13
ALLIANCE BANK & TRUST COMPANY,US71269,13
ALLIANCE BANKSHARES CORPORATION,US68129,10
ALLIANCE BANKSHARES CORPORATION,USA9DDD,12
ALLIANCE FINANCE COMPANY PLC,LK15093,6
ALLIANCE FINANCIAL CORPORATION,US48002,13
ALLIANCE FINANCIAL CORPORATION,USA23EC,13
ALLIANCE FINANCIAL GROUP BERHAD,MY29207,5
ALLIANCE TRUST PLC,GB43640,3
ALLIED BANK LIMITED,PK33464,5
ALLIED BANKING CORPORATION,PH36409,5
ALLIED FIRST BANCORP INC,US16172,15
ALLIED IRISH BANKS PLC,IE20102,3
ALLIED IRISH BANKS PLC,IE20103,5
ALLIED IRISH BANKS PLC,IEA046E,14
ALLY FINANCIAL INC,US40747,7
ALLY FINANCIAL INC,USAA9FD,17
ALMACENADORA ACCEL SA,MX50087,3
ALMACENES INTERNACIONALES RAISA S.A.,BO53098,3
ALPHA BANK AE,GR20022,5
ALPHA BANK AE,GR41109,5
ALPHA BANK AE,GRA22CF,16
ALPIC EVEREST FINANCE LTD,NP54302,1
ALPINE DEVELOPMENT BANK LTD,NP11292,4
ALTAPACIFIC BANCORP,US83763,7
ALTAPACIFIC BANK,US71840,11
ALTAREA S.A.,FR17686,3
ALTERNATIFBANK A.S.,TR36863,5
"ALTRUST FINANCIAL SERVICES, INC.",US68134,11
"ALTRUST FINANCIAL SERVICES, INC.",US89197,5
AMANA BANK PLC,LK14578,5
AMANAH LEASING PUBLIC COMPANY LTD,TH50972,3
AMB FINANCIAL CORP,US23746,5
AMB FINANCIAL CORP,US88859,5
AMB FINANCIAL CORP,USA14F9,16
AMBOY BANCORPORATION,US68142,16
"AMCORE FINANCIAL, INC.",US00395,10
"AMCORE FINANCIAL, INC.",US41869,10
AMEGY CORPORATION,US47473,6
AMEGY CORPORATION,USA141A,5
AMEN BANK,TN31563,5
AMERIANA BANCORP,US02925,15
AMERIANA BANCORP,US68144,14
AMERICA CALIFORNIA BANK,US60116,13
AMERICA FINANCIERA SA,PE15747,3
"AMERICAN BANCORP, INC.",US81467,17
AMERICAN BANK HOLDINGS INC,US23747,4
AMERICAN BANK INCORPORATED,US68151,3
AMERICAN BANK INCORPORATED,USA69D7,9
AMERICAN BUSINESS BANK,US39310,15
AMERICAN CAPITAL LTD,US51043,5
"AMERICAN COMMUNITY BANCORP, INC.",US71005,7
"AMERICAN COMMUNITY BANCSHARES, INC.",US68157,8
"AMERICAN COMMUNITY BANCSHARES, INC.",USA2686,9
AMERICAN EXPRESS COMPANY,US48650,7
AMERICAN NATIONAL BANKSHARES INC.,US68161,16
AMERICAN NATIONAL BANKSHARES INC.,USA2087,17
AMERICAN PACIFIC BANK,US60187,3
AMERICAN PACIFIC BANK,USA0146,4
AMERICAN RIVER BANKSHARES,US20976,1
AMERICAN RIVER BANKSHARES,US68163,15
AMERICAN RIVER BANKSHARES,USA1D1C,17
AMERICAN RIVIERA BANK,US71835,11
AMERICANWEST BANCORPORATION,US19279,10
AMERICANWEST BANCORPORATION,USA0CC0,10
AMERICAS UNITED BANK,US71836,11
AMERIGROUP CORP,US51102,5
AMERIS BANCORP,US68106,16
AMERIS BANCORP,USA0CE0,17
"AMERISERV FINANCIAL, INC",US41898,16
"AMERISERV FINANCIAL, INC",US93240,17
AMES NATIONAL CORPORATION,US19280,16
AMES NATIONAL CORPORATION,USA2DAA,17
AMMB HOLDINGS BERHAD,MY31549,5
AMSOUTH BANCORPORATION,US0582N,6
AMSOUTH BANCORPORATION,US34078,6
AMUNDI SA,FR11915,3
AMW CAPITAL LEASING AND FINANCE PLC,LK50508,3
ANCHOR BANCORP WISCONSIN INC,US17299,4
ANCHOR BANCORP WISCONSIN INC,USED2D1,6
"ANCHOR BANCORP, INC",US91444,4
"ANCHOR BANCORP, INC",US91628,2
"ANCHOR BANCORP, INC",USB27F8,13
ANDHRA BANK,IN30536,5
ANDOVER BANCORP INC.,US05283,1
ANDOVER BANCORP INC.,US41958,1
"ANDOVER BANCORP, INC., OHIO",US89170,10
ANIMAL RESOURCES BANK,SD49382,1
ANNALY CAPITAL MANAGEMENT INC,US13642,3
"ANNAPOLIS BANCORP, INC.",US89173,8
ANSA MERCHANT BANK LTD,TT53102,3
ANSA MERCHANT BANK LTD,TTF85CF,6
ANSAR BANK,IR52931,4
ANXIN TRUST CO LTD,CN51588,5
AOZORA BANK LTD,JP30270,11
AOZORA BANK LTD,JP36702,11
APEX DEVELOPMENT BANK LTD,NP12126,4
"APLUS FINANCIAL CO., LTD",JP48947,3
APOLLO INVESTMENT CORPORATION,US51084,5
"APPALACHIAN BANCSHARES, INC",US19281,10
"APPALACHIAN BANCSHARES, INC",USAB31B,7
ARAB AFRICAN INTERNATIONAL BANK,EG31326,5
ARAB BANK FOR INVESTMENT & FOREIGN TRADE - AL MASRAF,AE31277,3
ARAB BANK PLC,JO31548,5
ARAB BANK SYRIA SA,SY21965,5
ARAB BANKING CORPORATION - EGYPT (SAE),EG30058,4
ARAB BANKING CORPORATION (JORDAN),JO40017,5
ARAB BANKING CORPORATION BSC - BANK ABC,BH32560,5
ARAB ISLAMIC BANK,PS48938,3
ARAB JORDAN INVESTMENT BANK,JO32566,5
ARAB NATIONAL BANK PUBLIC JOINT STOCK COMPANY,SA33416,5
ARAB TUNISIAN BANK,TN33791,5
ARAB TUNISIAN LEASE,TN17139,5
ARANIKO DEVELOPMENT BANK LTD,NP11122,4
ARARATBANK OJSC,AM39881,5
ARBUTHNOT BANKING GROUP PLC,GB25004,5
AREA BANCSHARES CORPORATION,US41936,2
AREA BANCSHARES CORPORATION,USA1536,1
ARES CAPITAL CORPORATION,US51085,3
ARMECONOMBANK - ARMENIAN ECONOMY DEVELOPMENT BANK,AM42687,5
ARMENIAN DEVELOPMENT BANK OJSC,AM11608,5
ARROW FINANCIAL CORP.,US06455,17
ARROW FINANCIAL CORP.,US41989,16
ARUN FINANCE LTD,NP11870,4
ARZAN FINANCIAL GROUP FOR FINANCING AND INVESTMENT KSE,KW26780,3
AS DNB BANKA,LV29977,1
AS DNB BANKA,LV33110,5
AS LHV GROUP,EE52383,3
"ASB BANCORP, INC.",US20703,4
"ASB BANCORP, INC.",US91265,2
"ASB BANCORP, INC.",USD2D41,11
ASB FINANCIAL CORPORATION,US82657,4
ASHIKAGA BANK LTD.,JP14980,4
ASHIKAGA BANK LTD.,JP47963,3
ASHUR INTERNATIONAL BANK FOR INVESTMENT,IQ12557,5
ASIA COMMERCIAL JOINT-STOCK BANK - NGAN HANG A CHAU,VN42241,5
ASIA PLUS GROUP HOLDINGS PUBLIC COMPANY LIMITED,TH16580,3
ASIA SERMKIJ LEASING PUBLIC COMPANY LIMITED,TH50913,3
ASIA UNITED BANK CORPORATION,PH19923,8
ASIA UNITED BANK CORPORATION,PH47542,4
ASIAN AMERICAN BANK AND TRUST COMPANY,US60283,3
ASKARI BANK LIMITED,PK37550,5
ASO SAVINGS AND LOANS PLC,NG25527,1
ASSOCIATED BANC-CORP.,US06793,17
ASSOCIATED BANC-CORP.,US41809,16
ASTORIA FINANCIAL CORPORATION,US17104,4
ASTORIA FINANCIAL CORPORATION,USA0891,16
ASYA KATILIM BANKASI AS - BANK ASYA,TR49288,4
ATFBANK JSC,KZ46286,5
ATHENS BANCSHARES CORPORATION,US83742,4
"ATLANTIC BANCGROUP, INC.",US89078,8
"ATLANTIC BANCSHARES, INC.",US83269,11
ATLANTIC CAPITAL BANCSHARES INC,US73313,6
ATLANTIC CAPITAL BANCSHARES INC,USF8FCD,7
ATLANTIC COAST FINANCIAL CORPORATION,US20943,1
ATLANTIC COAST FINANCIAL CORPORATION,US60254,3
ATLANTIC COAST FINANCIAL CORPORATION,USAA044,16
"ATLANTIC SOUTHERN FINANCIAL GROUP, INC.",US71500,6
"ATLANTIC SOUTHERN FINANCIAL GROUP, INC.",USAEDDD,7
ATLAS BANK AD PODGORICA,ME23969,5
ATTICA BANK SA - BANK OF ATTICA SA,GR20006,5
ATTIJARI BANK,TN32280,5
ATTIJARI LEASING,TN19721,5
ATTIJARIWAFA BANK,MA30475,5
"AUBURN BANCORP, MHC",US83512,4
"AUBURN NATIONAL BANCORPORATION, INC.",US68199,16
"AUBURN NATIONAL BANCORPORATION, INC.",USA15C1,16
AURSKOG SPAREBANK,NO27371,5
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,AU30962,6
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,AUA1AE6,17
AUSWIDE BANK LTD,AU40082,6
AUTOBANK AG,AT19826,11
AUTOBANK AG,AT49426,5
AVANZA BANK HOLDING AB,SE40702,5
"AVENUE FINANCIAL HOLDINGS, INC",US20611,4
"AVENUE FINANCIAL HOLDINGS, INC",US91249,5
"AVENUE FINANCIAL HOLDINGS, INC",USF3F55,7
AVIDBANK,US71440,14
"AVIDBANK HOLDINGS, INC.",US83451,8
AXA BANQUE,FR10759,5
AXIS BANK LIMITED,IN42668,5
AXIS DEVELOPMENT BANK LIMITED,NP54304,2
AZIMUT HOLDING SPA,IT28955,5
B.L.C. BANK S.A.L,LB45900,5
B2B TRUST,CA54219,12
BAADER BANK AG,DE47958,5
BAADER BANK AG,DE48642,1
BABYLON BANK,IQ51590,4
