Company name,WVB No,OSIRIS Identification Number,count_records,min_date,max_date
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL CENTRE LOIRE SC - CREDIT AGRICOLE CENTRE LOIRE,30920EF,FR43961,5,2011-12-31,2015-12-31
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL D'ALPES-PROVENCE SC - CREDIT AGRICOLE ALPES PROVENCE,30912EF,FR43504,3,2013-12-31,2015-12-31
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL D'ALPES-PROVENCE SC - CREDIT AGRICOLE ALPES PROVENCE,30912EF,FR43505,5,2011-12-31,2015-12-31
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL D'AQUITAINE SC - CREDIT AGRICOLE D'AQUITAINE,30913EF,FR10613,3,2013-12-31,2015-12-31
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL D'AQUITAINE SC - CREDIT AGRICOLE D'AQUITAINE,30913EF,FR17480,5,2011-12-31,2015-12-31
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DE L'ILLE-ET-VILAINE SA - CREDIT AGRICOLE DE L'ILLE-ET-VILAINE,30135EF,FR11768,5,2011-12-31,2015-12-31
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DE L'ILLE-ET-VILAINE SA - CREDIT AGRICOLE DE L'ILLE-ET-VILAINE,30135EF,FR29947,3,2013-12-31,2015-12-31
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DE LA TOURAINE ET DU POITOU SC - CREDIT AGRICOLE DE LA TOURAINE ET DU POITOU,30103EF,FR44274,5,2011-12-31,2015-12-31
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DE NORMANDIE-SEINE,30132EF,FR16406,3,2013-12-31,2015-12-31
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DE NORMANDIE-SEINE,30132EF,FR17481,5,2011-12-31,2015-12-31
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DE PARIS ET D'ILE-DE-FRANCE SC - CREDIT AGRICOLE D'ILE-DE-FRANCE,30917EF,FR12985,5,2011-12-31,2015-12-31
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DE PARIS ET D'ILE-DE-FRANCE SC - CREDIT AGRICOLE D'ILE-DE-FRANCE,30917EF,FR44561,3,2013-12-31,2015-12-31
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DU LANGUEDOC SC,40129EF,FR14480,5,2011-12-31,2015-12-31
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DU MORBIHAN SC - CREDIT AGRICOLE DU MORBIHAN,30096EF,FR11804,5,2011-12-31,2015-12-31
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DU MORBIHAN SC - CREDIT AGRICOLE DU MORBIHAN,30096EF,FR49539,3,2013-12-31,2015-12-31
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL LOIRE HAUTE-LOIRE SC - CREDIT AGRICOLE LOIRE HAUTE-LOIRE,30100EF,FR10738,5,2011-12-31,2015-12-31
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL NORD DE FRANCE SC - CREDIT AGRICOLE NORD DE FRANCE,30918EF,FR19915,5,2011-12-31,2015-12-31
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL SUD RHONE -ALPES SC - CREDIT AGRICOLE SUD RHONE ALPES,30188EF,FR45061,5,2011-12-31,2015-12-31
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL SUD RHONE -ALPES SC - CREDIT AGRICOLE SUD RHONE ALPES,30188EF,FR49548,3,2013-12-31,2015-12-31
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL TOULOUSE 31 SC - CREDIT AGRICOLE MUTUEL TOULOUSE 31 CCI,30915EF,FR19914,3,2013-12-31,2015-12-31
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL TOULOUSE 31 SC - CREDIT AGRICOLE MUTUEL TOULOUSE 31 CCI,30915EF,FR38635,5,2011-12-31,2015-12-31
"CAIXA ECONOMICA DE CABO VERDE, SA",30003QC,CV45210,5,2011-12-31,2015-12-31
CAIXA ECONOMICA MONTEPIO GERAL,30130EP,PT22527,5,2011-12-31,2015-12-31
"CAIXABANK, S.A.",30320EE,ES11963,5,2011-12-31,2015-12-31
"CAIXABANK, S.A.",30320EE,ES52879,3,2013-12-31,2015-12-31
CAL BANK LIMITED,30010KV,GH36970,5,2011-12-31,2015-12-31
CAL BANK LIMITED,30010KV,GH42291,5,2011-12-31,2015-12-31
CALEDONIA FINANCIAL CORPORATION,US68334,US68334,3,2000-12-31,2002-12-31
CALIFORNIA BUSINESS BANK,US954572993,US71566,12,2005-12-31,2016-12-31
CALIFORNIA COMMUNITY BANK,US743087716,US60967,9,2003-12-31,2011-12-31
CALIFORNIA FIRST NATIONAL BANCORP,36970NU,US05060,17,2000-06-30,2016-06-30
CALIFORNIA FIRST NATIONAL BANCORP,36970NU,US20841,10,2006-12-31,2016-12-31
CALIFORNIA FIRST NATIONAL BANCORP,36970NU,US68337,6,2001-12-31,2014-12-31
"CALIFORNIA INTERNATIONAL BANK, N.A.",US760763105,US71682,12,2005-12-31,2016-12-31
CALIFORNIA OAKS STATE BANK,61632NU,US60969,8,2002-12-31,2009-12-31
CALIFORNIA UNITED BANK,US201461510,US71567,12,2005-12-31,2016-12-31
"CALNET BUSINESS BANK, NATIONAL ASSOCIATION",61986NU,US60971,4,2002-12-31,2005-12-31
"CALVIN B. TAYLOR BANKSHARES, INC.",41489NU,US20842,10,2006-12-31,2015-12-31
CALWEST BANCORP,US562380639,US90667,12,2003-12-31,2015-12-31
CAMBRIDGE BANCORP,US042777442,US68342,16,2000-12-31,2015-12-31
CAMBRIDGE BANCORP,US042777442,USB0D57,10,2007-12-31,2016-12-31
CAMCO FINANCIAL CORPORATION,36976NU,US71033,10,2004-12-31,2013-12-31
CAMCO FINANCIAL CORPORATION,36976NU,USA0D10,14,2000-12-31,2013-12-31
CAMDEN NATIONAL CORPORATION,36407NU,US48010,16,2000-12-31,2015-12-31
CAMDEN NATIONAL CORPORATION,36407NU,USA155D,16,2000-12-31,2015-12-31
CANACCORD GENUITY GROUP INC,32260NC,CA27526,3,2014-03-31,2016-03-31
CANADIAN IMPERIAL BANK OF COMMERCE CIBC,30052NC,CA33410,17,2000-10-31,2016-10-31
CANADIAN IMPERIAL BANK OF COMMERCE CIBC,30052NC,CAA1B5E,17,2000-10-31,2016-10-31
CANADIAN WESTERN BANK,30585NC,CA32554,17,2000-10-31,2016-10-31
CANADIAN WESTERN BANK,30585NC,CAA28EC,17,2000-10-31,2016-10-31
CANANDAIGUA NATIONAL CORPORATION,40604NU,US19290,16,2000-12-31,2015-12-31
CANANDAIGUA NATIONAL CORPORATION,40604NU,USB2473,11,2005-12-31,2015-12-31
CANARA BANK,30932FI,IN31471,5,2012-03-31,2016-03-31
CANYON BANCORP,US204346215,US84678,5,2006-12-31,2010-12-31
CANYON NATIONAL BANK,61676NU,US60992,9,2002-12-31,2010-12-31
CAPE BANCORP INC,63169NU,US61558,4,2012-12-31,2015-12-31
CAPE BANCORP INC,63169NU,USAFA4C,14,2002-12-31,2015-12-31
CAPE FEAR BANK,61654NU,US60722,7,2002-12-31,2008-12-31
"CAPITAL BANCORP, INC.",40627NU,US68348,6,2001-12-31,2006-12-31
"CAPITAL BANK & TRUST COMPANY, NEW YORK",US141784811,US60998,9,2002-12-31,2010-12-31
CAPITAL BANK CORPORATION,36979NU,US68349,11,2000-12-31,2010-12-31
CAPITAL BANK CORPORATION,36979NU,USA1CA5,12,2000-12-31,2011-12-31
CAPITAL BANK FINANCIAL CORP,63122NU,US73338,6,2010-12-31,2015-12-31
CAPITAL BANK FINANCIAL CORP,63122NU,USD3A38,8,2009-12-31,2016-12-31
CAPITAL BANK OF JORDAN,30005GJ,JO42901,5,2011-12-31,2015-12-31
"CAPITAL CITY BANK GROUP, INC.",36983NU,US41976,16,2000-12-31,2015-12-31
"CAPITAL CITY BANK GROUP, INC.",36983NU,USA13E8,17,2000-12-31,2016-12-31
CAPITAL CORP OF THE WEST,37266NU,US19291,9,2000-12-31,2008-12-31
CAPITAL CORP OF THE WEST,37266NU,USA181C,8,2000-12-31,2007-12-31
CAPITAL CROSSING BANK,61012NU,US61010,5,2002-12-31,2006-12-31
CAPITAL CROSSING BANK,61012NU,USA1991,6,2000-12-31,2005-12-31
CAPITAL NOMURA SECURITIES PUBLIC COMPANY LIMITED,30276FT,TH16584,3,2013-12-31,2015-12-31
CAPITAL ONE FINANCIAL CORPORATION,31399NU,US49388,12,2004-12-31,2015-12-31
CAPITAL ONE FINANCIAL CORPORATION,31399NU,USA097B,17,2000-12-31,2016-12-31
CAPITAL PACIFIC BANK,US331044355,US16682,12,2003-12-31,2014-12-31
CAPITAL SECURITIES CORPORATION,30861FC,TW23920,4,2012-12-31,2015-12-31
CAPITAL TRUST HOLDINGS INC,37194NU,US19328,14,2000-12-31,2013-12-31
CAPITAL TRUST HOLDINGS INC,37194NU,USA12B2,14,2000-12-31,2013-12-31
CAPITALSOUTH BANCORP,37296NU,US68778,7,2000-12-31,2008-12-31
CAPITALSOUTH BANCORP,37296NU,US89579,2,2006-12-31,2007-12-31
CAPITALSOUTH BANCORP,37296NU,USABB50,6,2002-12-31,2007-12-31
CAPITEC BANK HOLDINGS LIMITED,30554KS,ZA47262,5,2012-02-29,2016-02-29
CAPITOL BANCORP LTD.,37305NU,US68354,15,2000-12-31,2014-12-31
CAPITOL BANCORP LTD.,37305NU,USA006D,13,2000-12-31,2012-12-31
"CAPITOL CITY BANCSHARES, INC.",US582452995,US71037,10,2004-12-31,2013-12-31
"CAPITOL CITY BANCSHARES, INC.",US582452995,USB1C27,8,2006-12-31,2013-12-31
CAPITOL FEDERAL FINANCIAL INC,34965NU,US13618,4,2012-12-31,2015-12-31
CAPITOL FEDERAL FINANCIAL INC,34965NU,USA1EE2,17,2000-09-30,2016-09-30
CAPRICORN INVESTMENT GROUP LIMITED,30014MN,NA16343,6,2011-06-30,2016-06-30
CARDINAL BANKSHARES CORPORATION,40651NU,US20843,10,2006-12-31,2015-12-31
CARDINAL FINANCIAL CORPORATION,36730NU,US68360,15,2001-12-31,2015-12-31
CARDINAL FINANCIAL CORPORATION,36730NU,USA1BBB,17,2000-12-31,2016-12-31
CARDINAL STATE BANK,61965NU,US61020,6,2002-12-31,2007-12-31
CARDINAL STATE BANK,61965NU,USA9CD5,7,2001-12-31,2007-12-31
CARIBBEAN INVESTMENT HOLDINGS LIMITED,31431EX,BZ25186,4,2012-03-31,2015-03-31
CARIBBEAN INVESTMENT HOLDINGS LIMITED,31431EX,BZA052B,17,2000-03-31,2016-03-31
"CAROLINA BANK HOLDINGS, INC.",40644NU,US20844,6,2000-12-31,2015-12-31
"CAROLINA BANK HOLDINGS, INC.",40644NU,US68364,10,2002-12-31,2014-12-31
"CAROLINA BANK HOLDINGS, INC.",40644NU,USA77DF,15,2002-12-31,2016-12-31
CAROLINA FINANCIAL CORPORATION,65852NU,US68365,14,2002-12-31,2015-12-31
CAROLINA FINANCIAL CORPORATION,65852NU,USF4E8A,8,2009-12-31,2016-12-31
CAROLINA TRUST BANK INC,US562197865,US61026,15,2002-12-31,2016-12-31
"CARROLL BANCORP, INC.",US275463184,US83793,5,2011-12-31,2015-12-31
CARTER BANK & TRUST,US205539935,US71864,11,2006-12-31,2016-12-31
CARTER BANK & TRUST,US205539935,USDB634,1,2011-12-31,2011-12-31
CARTERA COLECTIVA ESCALONADA A DOCE MESES ADMINISTRADA POR SERFINCO SA,30384LL,CO53491,2,2013-12-31,2014-12-31
"CARVER BANCORP, INC",37021NU,US19024,4,2012-12-31,2015-12-31
"CARVER BANCORP, INC",37021NU,USA11D9,17,2000-03-31,2016-03-31
CASCADE BANCORP,37022NU,US68371,17,2000-12-31,2016-12-31
CASCADE BANCORP,37022NU,USA0830,17,2000-12-31,2016-12-31
CASCADE FINANCIAL CORPORATION,36718NU,US19294,10,2001-12-31,2010-12-31
CASCADE FINANCIAL CORPORATION,36718NU,USA14E9,12,2000-06-30,2010-12-31
"CASS INFORMATION SYSTEMS, INC.",40813NU,US68373,16,2000-12-31,2015-12-31
CASSA DI RISPARMIO DI FIRENZE SPA - BANCA CR FIRENZE SPA,30271EI,IT20514,5,2011-12-31,2015-12-31
CASSA DI RISPARMIO DI FIRENZE SPA - BANCA CR FIRENZE SPA,30271EI,IT47701,3,2011-12-31,2015-12-31
CATHAY FINANCIAL HOLDINGS CO LTD,31009FC,TW18734,5,2011-12-31,2015-12-31
CATHAY GENERAL BANCORP INC,37030NU,US47944,16,2000-12-31,2015-12-31
CATHAY GENERAL BANCORP INC,37030NU,USA0075,17,2000-12-31,2016-12-31
CATHAY UNITED BANK CO LTD,31969FC,TW30155,5,2011-12-31,2015-12-31
"CAVALRY BANCORP, INC",US621721072,US17300,4,2002-12-31,2005-12-31
"CAVALRY BANCORP, INC",US621721072,USA1AAB,6,2000-12-31,2005-12-31
CAYMAN NATIONAL CORPORATION LTD,30036WB,KY35755,5,2011-09-30,2015-09-30
"CB ""MOBIASBANCA - GROUPE SOCIETE GENERALE"" S.A.",40004OM,MD16556,5,2011-12-31,2015-12-31
"CB BANCSHARES, INC.",US990197163,US41967,4,2000-12-31,2003-12-31
"CB BANCSHARES, INC.",US990197163,USA04B9,4,2000-12-31,2003-12-31
CB FINANCIAL CORPORATION,US202928613,US83211,11,2005-12-31,2015-12-31
"CB FINANCIAL SERVICES, INC",US510534721,US73363,2,2013-12-31,2014-12-31
"CB FINANCIAL SERVICES, INC",US510534721,US90749,8,2006-12-31,2015-12-31
"CB FINANCIAL SERVICES, INC",US510534721,USCFB7C,8,2009-12-31,2016-12-31
CBBC BANCORP,US203302219,US71577,12,2005-12-31,2016-12-31
CBT FINANCIAL CORP.,US68388,US20845,10,2006-12-31,2015-12-31
CBZ BANK LIMITED,ZW45343,ZW45343,5,2011-12-31,2015-12-31
CBZ HOLDINGS LIMITED,30020KZ,ZW27209,5,2011-12-31,2015-12-31
"CCBT FINANCIAL COMPANIES, INC",US043437708,US14860,4,2000-12-31,2003-12-31
"CCBT FINANCIAL COMPANIES, INC",US043437708,US19295,4,2000-12-31,2003-12-31
CCF HOLDING COMPANY,37409NU,US89311,10,2006-12-31,2015-12-31
"CCFNB BANCORP, INC.",US232254643,US20819,4,2006-12-31,2016-12-31
"CCFNB BANCORP, INC.",US232254643,US68393,13,2000-12-31,2014-12-31
"CCFNB BANCORP, INC.",US232254643,USB0AB5,11,2005-12-31,2015-12-31
CCSB FINANCIAL CORP.,US320034299,US83632,4,2012-12-31,2015-12-31
"CECIL BANCORP, INC.",40795NU,US90405,11,2002-12-31,2015-12-31
CENTAR BANKA DD,40010OJ,HR44725,2,2011-12-31,2012-12-31
CENTER FINANCIAL CORPORATION,US522380548,US68396,9,2002-12-31,2010-12-31
CENTER FINANCIAL CORPORATION,US522380548,USA6164,11,2000-12-31,2010-12-31
"CENTERSTATE BANKS, INC",37088NU,US68397,16,2000-12-31,2015-12-31
"CENTERSTATE BANKS, INC",37088NU,USA2D1E,16,2000-12-31,2015-12-31
"CENTRA FINANCIAL HOLDINGS, INC.",US550770610,US68400,9,2002-12-31,2010-12-31
"CENTRA FINANCIAL HOLDINGS, INC.",US550770610,USB252F,6,2005-12-31,2010-12-31
"CENTRAL BANCORP, INC., MASSACHUSETTS",37092NU,US16170,13,2000-03-31,2012-03-31
"CENTRAL BANCORP, INC., MASSACHUSETTS",37092NU,US68403,12,2000-12-31,2011-12-31
"CENTRAL BANCSHARES, INC., TEXAS",US68409,US89232,11,2006-12-31,2016-12-31
CENTRAL BANK CORPORATION,US382889623,US89233,12,2000-12-31,2016-12-31
CENTRAL BANK OF INDIA,34356FI,IN31481,5,2012-03-31,2016-03-31
CENTRAL CALIFORNIA BANK,61536NU,US61098,4,2002-12-31,2005-12-31
CENTRAL COAST BANCORP,US770367061,US19297,6,2000-12-31,2005-12-31
CENTRAL COAST BANCORP,US770367061,USA1810,5,2000-12-31,2004-12-31
CENTRAL COOPERATIVE BANK AD,40064EL,BG43331,3,2013-12-31,2015-12-31
CENTRAL FEDERAL CORPORATION,37404NU,US16249,4,2012-12-31,2015-12-31
CENTRAL FEDERAL CORPORATION,37404NU,US23794,5,2011-12-31,2015-12-31
CENTRAL FEDERAL CORPORATION,37404NU,USA1D6A,16,2000-12-31,2015-12-31
CENTRAL FINANCE LTD,30134FB,NP11862,4,2012-07-15,2015-07-16
CENTRAL FLORIDA STATE BANK,US593698913,US61100,10,2002-12-31,2011-12-31
CENTRAL JERSEY BANCORP,37099NU,US69478,8,2002-12-31,2009-12-31
CENTRAL JERSEY BANCORP,37099NU,USA8513,9,2001-12-31,2009-12-31
CENTRAL PACIFIC FINANCIAL CORP.,37421NU,US13710,17,2000-12-31,2016-12-31
CENTRAL PACIFIC FINANCIAL CORP.,37421NU,US37266,16,2000-12-31,2015-12-31
CENTRAL VALLEY COMMUNITY BANCORP,37104NU,US68423,14,2000-12-31,2015-12-31
CENTRAL VALLEY COMMUNITY BANCORP,37104NU,USA2447,17,2000-12-31,2016-12-31
"CENTRAL VIRGINIA BANKSHARES, INC.",37108NU,US68424,9,2000-12-31,2011-12-31
"CENTRAL VIRGINIA BANKSHARES, INC.",37108NU,US89317,4,2006-12-31,2012-12-31
"CENTRAL VIRGINIA BANKSHARES, INC.",37108NU,USA0633,12,2000-12-31,2011-12-31
CENTRIX BANK & TRUST,US020503988,US61119,12,2002-12-31,2013-12-31
CENTRIX BANK & TRUST,US020503988,USB13A9,10,2004-12-31,2013-12-31
CENTRUE FINANCIAL CORPORATION,33771NU,US19421,15,2000-12-31,2014-12-31
CENTRUE FINANCIAL CORPORATION,33771NU,US89048,1,2015-12-31,2015-12-31
CENTRUE FINANCIAL CORPORATION,33771NU,USA1CC4,16,2000-12-31,2015-12-31
CENTRUE FINANCIAL CORPORATION (OLD),37400NU,US17332,3,2003-12-31,2005-12-31
CENTRUE FINANCIAL CORPORATION (OLD),37400NU,USA0880,6,2000-12-31,2005-12-31
"CENTURY BANCORP, INC.",37113NU,US16750,16,2000-12-31,2015-12-31
"CENTURY BANCORP, INC.",37113NU,US68427,16,2000-12-31,2015-12-31
"CENTURY BANCSHARES, INC.",US521489098,US87697,1,2000-12-31,2000-12-31
"CENTURY BANCSHARES, INC.",US521489098,USA173A,1,2000-12-31,2000-12-31
CENTURY BANK,41690NU,US71298,9,2004-12-31,2012-12-31
CENTURY COMMERCIAL BANK LIMITED,30246FB,NP50034,3,2014-07-16,2016-07-15
CENTURY FINANCIAL CORPORATION,US382912450,US89322,10,2006-12-31,2015-12-31
CENTURY NEXT FINANCIAL CORPORATION,US272851432,US83780,4,2012-12-31,2015-12-31
"CENTURY SOUTH BANKS, INC",30956NU,US16882,1,2000-12-31,2000-12-31
"CENTURY SOUTH BANKS, INC",30956NU,US48013,1,2000-12-31,2000-12-31
CESKA SPORITELNA A.S.,30008EV,CZ29830,2,2013-12-31,2014-12-31
CESKA SPORITELNA A.S.,30008EV,CZ33189,5,2011-12-31,2015-12-31
CETIP S.A. - MERCADOS ORGANIZADOS,31283LB,BR51874,1,2015-12-31,2015-12-31
CETIP S.A. - MERCADOS ORGANIZADOS,31283LB,BR51875,1,2015-12-31,2015-12-31
CFG COMMUNITY BANK,36870NU,US73125,15,2002-12-31,2016-12-31
CFG COMMUNITY BANK,36870NU,USAC55A,5,2003-12-31,2007-12-31
CFM INDOSUEZ WEALTH SA,MC30488,MC30488,5,2011-12-31,2015-12-31
"CFS BANCORP, INC",37125NU,US17321,1,2012-12-31,2012-12-31
"CFS BANCORP, INC",37125NU,USA20E4,13,2000-12-31,2012-12-31
CGM LEASING ARGENTINA SA,30285LA,AR17516,3,2013-12-31,2015-12-31
CHANG HWA COMMERCIAL BANK LTD.,30010FC,TW31422,5,2011-12-31,2015-12-31
CHANGJIANG SECURITIES COMPANY LIMITED,31312PC,CN51747,5,2011-12-31,2015-12-31
CHANGSHU RURAL COMMERCIAL BANK,CN28787,CN28787,4,2012-12-31,2015-12-31
CHARLES SCHWAB CORPORATION,31392NU,US49588,11,2000-12-31,2015-12-31
CHARTER FINANCIAL CORPORATION,37130NU,US23782,3,2013-12-31,2015-12-31
CHARTER FINANCIAL CORPORATION,37130NU,USA43A4,17,2000-09-30,2016-09-30
"CHARTER ONE FINANCIAL, INC",31376NU,US17320,4,2000-12-31,2003-12-31
"CHARTER ONE FINANCIAL, INC",31376NU,US48575,4,2000-12-31,2003-12-31
"CHEJU BANK, LTD. - JEJU BANK",40101FK,KR33748,3,2013-12-31,2015-12-31
CHELINDBANK GROUP - CHELINDBANK - CHELYABINSK JOINT STOCK COMMERCIAL BANK,40272OR,RU37394,5,2011-12-31,2015-12-31
CHELSEA STATE BANK INC,US380415815,US61156,15,2002-12-31,2016-12-31
CHEMICAL FINANCIAL CORPORATION,36706NU,US17570,16,2000-12-31,2015-12-31
CHEMICAL FINANCIAL CORPORATION,36706NU,US41865,16,2000-12-31,2015-12-31
CHEMUNG FINANCIAL CORPORATION,40198NU,US19298,16,2000-12-31,2015-12-31
CHEMUNG FINANCIAL CORPORATION,40198NU,USAA906,17,2000-12-31,2016-12-31
CHEROKEE BANKING COMPANY,US582432974,US90585,12,2000-12-31,2013-12-31
"CHESAPEAKE FINANCIAL SHARES, INC.",US541210845,US68444,13,2000-12-31,2015-12-31
"CHESTATEE BANCSHARES, INC.",40207NU,US89330,6,2000-12-31,2009-12-31
"CHESTER BANCORP, INC.",US371359570,US82621,17,2000-12-31,2016-12-31
"CHESTER VALLEY BANCORP, INC",US232598554,US17795,6,2000-06-30,2005-06-30
"CHESTER VALLEY BANCORP, INC",US232598554,US19448,4,2001-12-31,2004-12-31
CHEVIOT FINANCIAL CORP,36704NU,US20900,1,2015-12-31,2015-12-31
CHEVIOT FINANCIAL CORP,36704NU,US23784,3,2012-12-31,2014-12-31
CHEVIOT FINANCIAL CORP,36704NU,USA835F,16,2001-03-31,2015-12-31
CHHIMEK LAGHUBITTA BIKAS BANK LTD,30135FB,NP12155,2,2013-07-15,2014-07-16
CHIBA BANK LTD.,30190FJ,JP32788,11,2006-03-31,2016-03-31
CHIBA BANK LTD.,30190FJ,JP47966,11,2006-03-31,2016-03-31
CHIBA KOGYO BANK,30195FJ,JP17170,11,2006-03-31,2016-03-31
CHIBA KOGYO BANK,30195FJ,JP32064,11,2006-03-31,2016-03-31
CHICOPEE BANCORP INC,63256NU,US20920,4,2006-12-31,2015-12-31
CHICOPEE BANCORP INC,63256NU,US73273,6,2009-12-31,2014-12-31
CHICOPEE BANCORP INC,63256NU,USACE9F,13,2003-12-31,2015-12-31
CHIKUHO BANK,30221FJ,JP17171,11,2006-03-31,2016-03-31
CHIKUHO BANK,30221FJ,JP32990,11,2006-03-31,2016-03-31
CHINA BANKING CORPORATION - CHINABANK,30056FA,PH31526,5,2011-12-31,2015-12-31
CHINA BANKING CORPORATION - CHINABANK,30056FA,PH39213,8,2008-12-31,2015-12-31
CHINA BILLS FINANCE CORPORATION,30582FC,TW46359,5,2011-12-31,2015-12-31
CHINA CITIC BANK CORPORATION LIMITED,31083FH,CN32378,5,2011-12-31,2015-12-31
CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO SA,31210LB,BR43536,3,2013-12-31,2015-12-31
CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO SA,31210LB,BRAFAB1,11,2004-01-31,2014-12-31
CHINA CONSTRUCTION BANK CORPORATION JOINT STOCK COMPANY,31245PC,CN48206,5,2011-12-31,2015-12-31
CHINA DEVELOPMENT FINANCIAL HOLDING CORP,30607FC,TW16490,5,2011-12-31,2015-12-31
CHINA DEVELOPMENT INDUSTRIAL BANK PUBLIC COMPANY,31130FC,TW36843,5,2011-12-31,2015-12-31
CHINA EVERBRIGHT BANK CO LTD,32260PC,CN38203,5,2011-12-31,2015-12-31
CHINA EVERBRIGHT LIMITED,30398FH,HK29167,5,2011-12-31,2015-12-31
CHINA INTERNATIONAL CAPITAL CORPORATION LIMITED,42335PC,CN10604,3,2013-12-31,2015-12-31
CHINA MERCHANTS BANK CO LTD,31373PC,CN38600,5,2011-12-31,2015-12-31
"CHINA MERCHANTS SECURITIES CO., LTD.",32255PC,CN51726,4,2012-12-31,2015-12-31
CHINA MINSHENG BANKING CORPORATION,30951PC,CN45809,5,2011-12-31,2015-12-31
CHINA ZHESHANG BANK CO LTD,42211PC,CN42330,3,2013-12-31,2015-12-31
CHINO COMMERCIAL BANCORP,US204797048,US83305,10,2006-12-31,2015-12-31
"CHINO COMMERCIAL BANK, N.A.",US330884033,US61181,15,2002-12-31,2016-12-31
CHITTENDEN CORPORATION,37315NU,US18050,7,2000-12-31,2006-12-31
CHITTENDEN CORPORATION,37315NU,US41912,8,2000-12-31,2007-12-31
CHOEUN SAVING BANK,41369FK,KR28991,3,2014-06-30,2015-12-31
"CHOICE BANCORP, INC.",US272416885,US83752,5,2011-12-31,2015-12-31
"CHOICEONE FINANCIAL SERVICES, INC.",40838NU,US20857,9,2006-12-31,2014-12-31
"CHOICEONE FINANCIAL SERVICES, INC.",40838NU,US68451,7,2000-12-31,2015-12-31
"CHOICEONE FINANCIAL SERVICES, INC.",40838NU,USB25F8,12,2005-12-31,2016-12-31
CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,30794FI,IN27387,3,2014-03-31,2016-03-31
CHONG HING BANK LIMITED,30318FH,HK32773,5,2011-12-31,2015-12-31
CHONGQING RURAL COMMERCIAL  BANK,32259PC,CN12214,5,2011-12-31,2015-12-31
CHRISTIANA BANK & TRUST COMPANY,61388NU,US61187,8,2002-12-31,2009-12-31
CHUKYO BANK LTD,30232FJ,JP17172,11,2006-03-31,2016-03-31
CHUKYO BANK LTD,30232FJ,JP32870,11,2006-03-31,2016-03-31
"CIB MARINE BANCSHARES, INC",US371203599,US48012,16,2000-12-31,2015-12-31
"CIB MARINE BANCSHARES, INC",US371203599,USB25F9,6,2011-12-31,2016-12-31
CIBANK JSC,BG831686320,BG15161,8,2008-12-31,2015-12-31
CIBANK JSC,BG831686320,BG42563,5,2011-12-31,2015-12-31
CIMB GROUP HOLDINGS BERHAD,30033FM,MY35675,5,2011-12-31,2015-12-31
CIMB THAI BANK PUBLIC COMPANY LIMITED,30052FT,TH46732,5,2011-12-31,2015-12-31
CINCINNATI BANCORP,US474931771,US91842,1,2015-12-31,2015-12-31
"CIT GROUP, INC",34857NU,US49731,7,2009-12-31,2015-12-31
"CIT GROUP, INC",34857NU,USA43DD,18,2000-12-31,2016-12-31
CITIBANK DEL PERU SA,30191LP,PE43706,5,2011-12-31,2015-12-31
CITIBANK KOREA INC.,30012FK,KR42175,5,2011-12-31,2015-12-31
CITIC SECURITIES COMPANY LIMITED,30952PC,CN10647,4,2012-12-31,2015-12-31
CITIGROUP INC,41714NU,US48492,16,2000-12-31,2015-12-31
CITIGROUP INC,41714NU,USA1CB9,17,2000-12-31,2016-12-31
CITIZENS & NORTHERN CORPORATION,37196NU,US19299,16,2000-12-31,2015-12-31
CITIZENS & NORTHERN CORPORATION,37196NU,USA1CEB,17,2000-12-31,2016-12-31
"CITIZENS B & T HOLDINGS, INC.",US510578743,US83302,10,2006-12-31,2015-12-31
CITIZENS BANCORP,US010775317,US90407,6,2003-12-31,2010-12-31
"CITIZENS BANCORP OF VIRGINIA, INC.",US200469337,US90408,11,2006-12-31,2016-12-31
"CITIZENS BANCORP, OREGON",US911841688,US68458,7,2000-12-31,2014-12-31
"CITIZENS BANCORP, OREGON",US911841688,US89338,10,2006-12-31,2016-12-31
"CITIZENS BANCSHARES CORPORATION, GEORGIA",40304NU,US20830,10,2006-12-31,2015-12-31
